N°;Name;Index;Bands;Formula;Reference
237;Transformed Chlorophyll Absorbtion Ratio (700,670,550);TCARI;[700,670,550];3 * ((R700 - R670) - ((0.2 * (R700 - R550)) * (R700 / R670)));Haboudane et al., 2002
238;Transformed Chlorophyll Absorbtion Ratio (750,705,550);TCARI;[750,705,550];3 * ((R750 - R705) - ((0.2 * (R750 - R550)) * (R750 / R705)));Wu et al., 2008a
239;Transformed Soil Adjusted Vegetation Index (800, 670);TSAVI;[800, 670];(1.2344 * (R800 - (1.2344 * R670) - 0.0183)) / ((1.2344 * (R800 + R670)) - (1.2344 * 0.0183));Baret et al., 1989
240;Transformed Soil Adjusted Vegetation Index (875,680);TSAVI;[875,680];(1.062 * (R875 - (1.062 * R680) - 0.022)) / (R680 + (1.062 * R875) - (1.062 * 0.022) + (0.08 * (1 + (1.062 * 1.062))));Rondeaux et al., 1996
241;Triangular Vegetation Index (750,550,670);TVI;[750,550,670];0.5 * (120 * (R750 - R550) - 200 * (R670 - R550));Broge and Leblanc, 2001
242;Triangular Vegetation Index (758,554,674);TVI;[758,554,674];0.5 * (120 * (R758 - R554) - 200 * (R674 - R554));Rodríguez-Pérez et al., 2007
243;Vegetation Index (800,694);VI;[800,694];(R800 / R694) - 1;Viña, 2003
244;Vegetation Stress Ratio (725,702);VSR;[725,702];R725 / R702;White et al., 2008
245;Vogelmann (734,747,715,720);Vogelmann;[734,747,715,720];(R734 - R747) / (R715 + R720);Vogelmann, et al., 1993
246;Vogelmann (734,747,715,726);Vogelmann;[734,747,715,726];(R734 - R747) / (R715 + R726);Vogelmann, et al., 1993
247;Vogelmann (740,720);Vogelmann;[740,720];R740 / R720;Vogelmann, et al., 1993
248;Water Index (900,970);WI;[900,970];R900 / R970;Peñuelas et al., 1993a
249;Water Index (950,900);WI;[950,900];R950 / R900;Peñuelas et al., 1993b
250;Water Index (970,900);WI;[970,900];R970 / R900;Peñuelas et al., 1993a
251;Weighted Difference Vegetation Index (800,670);WDVI;[800,670];R800 - (1.2344 * R670);Clevers, 1989
252;Weighted Difference Vegetation Index (830,660);WDVI;[830,660];R830 - (1.06 * R660);Clevers, 1989
253;WI - NDVI (970,900,800,680);WI - NDVI;[970,900,800,680];(R970 / R900) / ((R800 - R680) / (R800 + R680));Peñuelas and Inoue, 1999
254;Yellow Red Chlorophyll Absorption Ratio (600,680);YCAR;[600,680];R600 / R680;Schlemmer et al., 2005
255;Zarco and Miller (750,710);ZM;[750,710];R750 / R710;Zarco-Tejada et al., 2001
